# BEAST v1.10.5 Prerelease #8a10723
# Generated Mon Mar 11 08:09:05 CET 2024 [seed=1710140944925]
# -beagle_SSE H1N2_PA_20240303.noOut.xml
# keywords: skygrid discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(rodent)	age(rodent)	skygrid.precision	skygrid.logPopSize1	skygrid.logPopSize2	skygrid.logPopSize3	skygrid.logPopSize4	skygrid.logPopSize5	skygrid.logPopSize6	skygrid.logPopSize7	skygrid.logPopSize8	skygrid.logPopSize9	skygrid.logPopSize10	skygrid.cutOff	kappa	frequencies1	frequencies2	frequencies3	frequencies4	default.ucld.mean	default.ucld.stdev	host.clock.rate	default.meanRate	default.coefficientOfVariation	default.covariance	host.meanRate	host.rates.human.rodent	host.rates.human.swine	host.rates.rodent.swine	age(Cavia_porcellus|Orthomyxoviridae|Alphainfluenzavirus|IAV|CPo-HuN-L7|2023)	age(GU135956|A_swine_Iowa_H03LS4_2003|swine|USA|2003-06)	default.treeLikelihood	default.branchRates	host.branchRates	host.treeLikelihood	skygrid
0	-24786.44631114934	-2274.2223378524263	-22512.223973296914	402.57669381403895	1621.423306185961	1220.2330799115232	11.531987216695653	2012.4680127833044	0.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	30.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.001	0.3333333333333333	1.0	8.860049848139418E-5	4.755540898483643	-0.04830418994904273	1.0	1.0	1.0	1.0	0.5	20.544634703196458	-22486.087435613936	-176.11750423849838	0.0	-26.136537682978133	-878.4785731359835
5000	-10111.43846059463	-358.6850802163583	-9752.753380378272	473.94608036799093	1550.0539196320092	2263.595513443405	52.20845956136049	1971.7915404386395	0.3690563663057713	8.631654627730944	8.150863238440026	5.816526057513782	6.727827441015367	6.012645869247143	6.61886000815873	6.471135416492663	6.593958633589523	4.693620055357346	5.296185394642537	30.0	11.542836798269857	0.3068436070557704	0.21592208616869488	0.22114790983975263	0.2560863969357821	0.0033214970915661692	0.10150220925913407	5.897713355612819E-4	2.967011492939303E-4	2.6841003912778345	0.2729827842054608	5.897713355612818E-4	0.11886263743295382	7.398470211103049	0.780704510629815	0.915284358845206	20.54660184917016	-9728.231938066592	-176.11750423849838	0.0	-24.52144231167941	-170.97746455366394
10000	-9688.05464305486	-366.35460052219844	-9321.700042532662	530.7400873102588	1493.2599126897412	2757.8877724590275	77.12953951699232	1946.8704604830077	0.07439567224022206	4.8445019071470075	8.1323134407548	12.347747472535755	14.710159480474264	6.456136741496492	7.752419664085593	7.665897172969162	5.283952136309366	7.432444877415559	5.806078845378338	30.0	10.078476565837958	0.34606170418999427	0.18677582866184225	0.2228113091062497	0.24435115804191374	0.0022695508541022216	0.06410640929732472	6.450037746286745E-4	2.1757849976478152E-4	2.50877717600225	0.38342010974334584	6.450037746286745E-4	0.055414007021656594	1.1279509695502232	0.44178995979217917	0.8520584353017074	20.544060724654475	-9305.874046366702	-176.11750423849838	0.0	-15.825996165959925	-188.44630836948141
15000	-9605.785006600196	-367.826158138509	-9237.958848461687	546.4644494501174	1477.5355505498826	2873.8149898125816	56.80318166640577	1967.1968183335941	0.14101991422580293	11.836796010698524	13.240389641117936	10.06225563140184	8.062168984437362	5.8890626032223725	5.347312535643701	8.759537039651601	9.29780333702455	6.87009704180872	6.035528366360318	30.0	11.425145619315868	0.3302427772279626	0.20459532698978877	0.2112130059116222	0.25394888987062636	0.0026900963827341095	0.07909504390391935	0.0014181058657371775	1.9812019471911215E-4	2.267385594853434	0.8243899502868818	0.001418105865737178	0.6057501636058075	0.8548761376504026	1.2780452258544526	0.6540658610988392	20.56465034134438	-9221.992640423989	-176.11750423849838	0.0	-15.966208037699285	-183.6788939536688
20000	-9589.835972735236	-361.03230295396276	-9228.803669781273	525.9607488561255	1498.0392511438745	2698.8327494329574	41.875808781162796	1982.1241912188373	0.3369345178335786	13.540228923894446	10.39631689583028	8.840369248217895	8.005912046750385	6.633357346368963	7.618510275208727	7.677874533341004	8.022680071714772	7.398697998775663	5.778778356231656	30.0	11.57727082182079	0.3333056496035327	0.20002571755573498	0.21311800240611045	0.2535506304346218	0.002749103797968539	0.06342796246714677	6.678959419398425E-4	2.1389366543483513E-4	2.148579241365351	0.7673844274288606	6.678959419398424E-4	0.33401014867805595	0.937877405267417	1.4323874141247077	0.178469045367468	20.524048623072606	-9211.773778679066	-176.11750423849838	0.0	-17.029891102207674	-178.9577912954054
25000	-9123.14735694503	-353.75312832730947	-8769.39422861772	342.8972546477068	1681.1027453522931	1918.7025476564836	34.991123219680624	1989.0088767803193	0.6931150428584151	6.959029977603208	7.140241539995161	8.709271537843385	8.938653335181801	8.388159461145888	7.646443782438321	5.803118524620474	5.865991638490683	6.388210737723556	5.823184104466259	30.0	12.428367819118426	0.34758294315039046	0.19071744183175007	0.22366850126090845	0.2380311137569508	0.003316023349951496	0.07431267354689315	9.801472297836498E-4	2.702102812333304E-4	2.0609262004296736	0.12828814479744427	9.801472297836496E-4	0.4747917681357573	2.861226581490326	1.2039612925617975	0.6869502293677463	20.5360557348545	-8754.955924427077	-176.11750423849838	0.0	-14.438304190643947	-169.30311693533187
30000	-9126.311317448948	-356.3817550313415	-8769.929562417607	361.68502672444384	1662.3149732755562	2160.4463696573166	41.4570491959914	1982.5429508040086	0.7911265767482892	9.577219652973334	10.30224257980241	10.072919838340553	10.37784353137526	8.175102837629723	6.18058950269049	6.276040714822139	6.816469752617432	6.854444079935121	5.420464205951419	30.0	11.830604401413838	0.3437860963876194	0.18411382490671122	0.2233085602405939	0.24879151846507508	0.003582136395407534	0.09417864081309374	0.001660849941256761	2.41102568089809E-4	2.0177785218910658	0.09526044728999779	0.0016608499412567616	0.41280594338965304	0.5360879916111126	0.08811788402529154	0.7033704234637881	20.57378327500149	-8757.223616045936	-176.11750423849838	0.0	-12.705946371671017	-172.0716114059663
35000	-9122.987438434	-352.1834685538122	-8770.803969880188	256.56893863568393	1767.431061364316	1850.7169268353846	45.52922382261508	1978.470776177385	1.23097072939836	7.200622143309825	6.9689051798580115	6.65837409336643	6.48187119929046	6.185153421231704	7.487130754104944	6.870456420190006	6.099099705738094	6.252547894821034	5.741105226856684	30.0	10.46902582669055	0.34129289610863234	0.20228827568884616	0.2154633179220072	0.2409555102805138	0.004124781292477622	0.12267957399020148	0.0020025838676986448	2.6947695942933887E-4	2.1233393279034676	0.1431658584938785	0.0020025838676986448	0.5476569505944695	0.3168190905392907	0.043940134828335205	0.9807971438440348	20.5181326819573	-8759.706778737645	-176.11750423849838	0.0	-11.097191142541755	-167.37523842167042
40000	-9102.605697422516	-337.80261646217815	-8764.803080960337	241.51509316983135	1782.4849068301687	1458.707157907585	33.06356538735267	1990.9364346126474	2.066196118580016	6.041804244918236	5.652997257586414	6.554788616426136	7.165814244759485	6.797849016789016	6.486273553648719	6.034725912803201	6.209180228055479	5.3826343545932565	5.222545343432599	30.0	10.527174901719718	0.33448678561850237	0.1945371252174079	0.22614662286180562	0.2448294663022836	0.004122911711487306	0.10277530021660214	0.0010828501443663771	3.562849254503979E-4	2.018449485336186	0.06894392526388757	0.0010828501443663776	0.1085458696604364	0.39152425250884487	0.19588370838943028	0.05764515106763879	20.547842368968986	-8750.874181966998	-176.11750423849838	0.0	-13.92889899333867	-156.55397030002922
45000	-9113.050856755843	-344.87992381016204	-8768.17093294568	207.82635851154348	1816.1736414884565	1487.930130561875	36.033525210064475	1987.9664747899355	1.0449823833831	8.096698745926858	10.75214925970599	10.498726423103712	10.651739452646613	9.964377719154694	8.384561719681152	7.868167931352737	6.7115445437699535	6.951676466915249	5.474197634619176	30.0	11.089011301071297	0.32233071914404177	0.2136762020221588	0.22284402231215827	0.2411490565216405	0.003656549842428635	0.09537038677397001	4.7708382245154816E-4	3.576752195437735E-4	1.9722836059077304	0.14589646548803953	4.770838224515482E-4	0.18003015668342454	1.6838782371808134	1.5284600631522274	0.45793161177978425	20.53678570282135	-8751.844419212284	-176.11750423849838	0.0	-16.326513733396627	-163.47402071654744
